# BUSCO version is: 5.0.0 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of species: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	ptg000129l_1	7658662	8173865	+	7107.7	4870	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	ptg000782l_1	504732	676157	-	7850.3	4180	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	ptg001085l_1	655084	878527	-	8119.5	3936	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	ptg000504l_1	950797	1005209	-	7497.3	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	ptg002502l_1	84728	342769	-	6787.5	3685	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	ptg000976l_1	633905	790470	-	7252.8	3784	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	ptg000478l_1	1127734	1396943	-	4185.8	2970	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	ptg000699l_1	5019023	5098310	+	6647.2	3295	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	ptg000413l_1	4272070	4800868	+	5761.3	2930	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	ptg001148l_1	137608	244167	+	5591.2	2985	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	ptg000404l_1	521697	558861	-	3646.5	2331	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	ptg000382l_1	12397543	12644399	-	5275.8	2576	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	ptg000359l_1	526312	682308	+	4827.3	2827	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	ptg000154l_1	4958485	5289382	-	2805.4	2427	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	ptg000203l_1	1928228	2016555	+	3854.0	2381	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	ptg000002l_1	266519	394756	+	3845.7	2209	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	ptg000838l_1	2869185	2916564	+	3732.0	2814	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	ptg001220l_1	214458	323016	-	4353.0	2157	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	ptg001335l_1	430037	532636	-	3578.8	2114	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	ptg000025l_1	920471	970811	+	3843.0	2180	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	ptg000002l_1	2625768	2658037	+	4971.6	2131	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	ptg000557l_1	3110737	3199938	+	2389.1	1778	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	ptg000310l_1	291473	382772	+	3135.5	1893	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	ptg000561l_1	83314	213820	-	4000.5	2130	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	ptg000491l_1	606671	702409	+	4221.8	2171	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	ptg001395l_1	50426	104233	-	2542.1	1539	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Complete	ptg000107l_1	4673385	4769191	-	3748.6	2403	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
5604at7742	Complete	ptg001742l_1	78150	287911	-	2659.4	1907	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	ptg000154l_1	417378	523828	-	3489.0	2312	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	ptg001166l_1	18698	119103	-	3907.5	1976	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	ptg001783l_1	348482	405876	+	3631.3	1848	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	ptg000060l_1	6708997	6785073	+	3671.2	1967	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	ptg001138l_1	280970	335175	+	1666.7	1147	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	ptg000010l_1	1153699	1256972	+	4593.5	2338	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	ptg000044l_1	807875	1195668	+	2907.1	1851	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	ptg001150l_1	218310	385609	+	2956.5	1752	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Fragmented	ptg003272l_1	5788	72567	+	1116.7	1061	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	ptg000577l_1	6351078	6428947	+	2315.7	1827	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	ptg000017l_1	4581846	4683533	+	2640.5	1433	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	ptg000606l_1	168397	192306	-	1335.5	1247	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	ptg000002l_1	2577350	2588227	-	2345.1	1481	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	ptg000745l_1	38398	114887	+	2837.5	1805	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	ptg000371l_1	846229	936144	+	3212.6	1625	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	ptg000047l_1	1688715	1784150	-	1504.2	1292	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	ptg000162l_1	121045	176729	-	2376.7	1720	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	ptg001833l_1	396801	441580	+	1798.2	1477	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	ptg000382l_1	3003893	3082274	+	2796.4	1644	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	ptg000336l_1	226640	316575	-	3375.8	2061	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	ptg000142l_1	1799109	1822326	-	2155.1	1670	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	ptg001500l_1	202901	241398	-	3227.1	1791	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	ptg000460l_1	2801759	2877055	-	2959.9	1766	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	ptg000699l_1	2578249	2593916	-	3087.7	1847	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	ptg001792l_1	156861	474807	-	1711.2	1045	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	ptg001402l_1	115636	157631	-	1427.4	1264	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	ptg001787l_1	657174	695225	-	1687.7	1446	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	ptg001417l_1	229110	261302	+	2376.1	1504	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	ptg000630l_1	334209	357859	-	1944.9	1330	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	ptg000188l_1	2985118	3163975	+	3106.0	1543	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	ptg000398l_1	481280	935849	+	2763.9	1545	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	ptg000467l_1	589750	698825	+	3264.6	1708	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	ptg001418l_1	320092	364643	+	2808.2	1400	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	ptg001724l_1	1557538	1574033	-	2184.5	1381	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	ptg000534l_1	1104223	1188390	+	1574.0	1165	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	ptg001075l_1	329986	372316	+	2683.6	1559	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	ptg000576l_1	1402927	1468947	+	2496.4	1819	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Complete	ptg001463l_1	895239	1050653	+	2552.1	1418	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
12300at7742	Complete	ptg000156l_1	5510186	5551469	+	1518.5	1334	https://www.orthodb.org/v10?query=12300at7742	deleted in lung and esophageal cancer protein 1
12491at7742	Complete	ptg001059l_1	191280	341981	-	2585.8	1368	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
12613at7742	Complete	ptg000226l_1	2235861	2547518	+	2746.4	1468	https://www.orthodb.org/v10?query=12613at7742	sodium leak channel non-selective protein
12616at7742	Complete	ptg000858l_1	2086854	2163884	+	2645.6	1527	https://www.orthodb.org/v10?query=12616at7742	nebulin-related-anchoring protein
12659at7742	Complete	ptg001200l_1	1296382	1375687	-	2959.8	1546	https://www.orthodb.org/v10?query=12659at7742	B-TFIID TATA-box binding protein associated factor 1
13296at7742	Complete	ptg001133l_1	527313	579289	+	1693.0	1242	https://www.orthodb.org/v10?query=13296at7742	E3 ubiquitin-protein ligase listerin
13480at7742	Complete	ptg001983l_1	76660	110548	+	1070.9	986	https://www.orthodb.org/v10?query=13480at7742	Cilia and flagella associated protein 65
13670at7742	Complete	ptg001088l_1	1160479	1213239	+	2385.2	1418	https://www.orthodb.org/v10?query=13670at7742	nucleoporin NUP188 homolog
13881at7742	Complete	ptg000647l_1	1797082	1852277	+	2175.7	1358	https://www.orthodb.org/v10?query=13881at7742	DNA-directed RNA polymerase I subunit RPA1
13963at7742	Complete	ptg000284l_1	12276012	12321596	-	1701.5	1109	https://www.orthodb.org/v10?query=13963at7742	Fanconi anemia group M protein
13987at7742	Complete	ptg001983l_1	444314	464820	+	1816.6	1189	https://www.orthodb.org/v10?query=13987at7742	Zinc finger protein 142
14102at7742	Complete	ptg000326l_1	4830388	4990535	+	1883.2	1496	https://www.orthodb.org/v10?query=14102at7742	Laminin subunit alpha 4
14442at7742	Complete	ptg000775l_1	1102841	1238681	+	2690.5	1509	https://www.orthodb.org/v10?query=14442at7742	Golgi brefeldin A resistant guanine nucleotide exchange factor 1
14788at7742	Complete	ptg000144l_1	607570	683351	+	2195.1	1385	https://www.orthodb.org/v10?query=14788at7742	ATP-binding cassette sub-family A member 5
15083at7742	Complete	ptg000085l_1	9205844	9295044	+	1382.9	1315	https://www.orthodb.org/v10?query=15083at7742	Ankyrin repeat domain 12
15257at7742	Complete	ptg000156l_1	4874573	4944639	+	1661.7	2086	https://www.orthodb.org/v10?query=15257at7742	golgin A4 
15408at7742	Complete	ptg000795l_1	3809837	3903666	-	3034.6	1612	https://www.orthodb.org/v10?query=15408at7742	proteasome-associated protein ECM29 homolog
15604at7742	Complete	ptg000912l_1	601831	677978	+	3135.0	1618	https://www.orthodb.org/v10?query=15604at7742	Transcription initiation factor TFIID subunit
15611at7742	Complete	ptg000557l_1	4088954	4164036	+	1572.8	1311	https://www.orthodb.org/v10?query=15611at7742	tumor suppressor p53-binding protein 1
15711at7742	Complete	ptg000118l_1	3876401	3970245	+	1603.8	1402	https://www.orthodb.org/v10?query=15711at7742	uncharacterized protein KIAA2026 homolog
16061at7742	Complete	ptg000620l_1	1528298	1542569	+	2628.5	1366	https://www.orthodb.org/v10?query=16061at7742	Zinc finger SWIM-type containing 8
16096at7742	Complete	ptg000934l_1	285252	323340	+	653.0	733	https://www.orthodb.org/v10?query=16096at7742	MHC class II transactivator
16236at7742	Complete	ptg000340l_1	410717	449770	+	1856.3	1298	https://www.orthodb.org/v10?query=16236at7742	general transcription factor 3C polypeptide 1
16347at7742	Complete	ptg001006l_1	1939280	1985646	-	1558.8	1115	https://www.orthodb.org/v10?query=16347at7742	Minichromosome maintenance complex component 3 associated protein
16405at7742	Complete	ptg000845l_1	1179222	1225995	-	2086.8	1092	https://www.orthodb.org/v10?query=16405at7742	Mitogen-activated protein kinase kinase kinase 4
16601at7742	Fragmented	ptg001919l_1	53554	87022	-	1113.3	771	https://www.orthodb.org/v10?query=16601at7742	methylcytosine dioxygenase TET2
16779at7742	Complete	ptg000638l_1	7223592	7295641	-	2300.8	1237	https://www.orthodb.org/v10?query=16779at7742	SNF2 histone linker PHD RING helicase
16923at7742	Complete	ptg000011l_1	4089074	4187576	+	2985.5	1456	https://www.orthodb.org/v10?query=16923at7742	protein MON2 homolog isoform X1
17577at7742	Complete	ptg000349l_1	335702	476546	+	2448.0	1270	https://www.orthodb.org/v10?query=17577at7742	DEP domain-containing protein 5
17657at7742	Complete	ptg000442l_1	5036345	5093334	+	2148.8	1041	https://www.orthodb.org/v10?query=17657at7742	Dispatched RND transporter family member 1
